id,name,is_open,wait_time,data_local,hora_local
11332.0,Tigor Mountain,True,10,2025-05-04,10:00:12
11332.0,Tigor Mountain,True,10,2025-05-04,10:05:12
11340.0,Barco Pirata,True,10,2025-05-04,10:05:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:05:12
11367.0,Raskapuska,True,30,2025-05-04,10:05:12
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:05:12
11328.0,Roda-Gigante,True,40,2025-05-04,10:05:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:10:12
11332.0,Tigor Mountain,True,10,2025-05-04,10:10:12
11367.0,Raskapuska,True,30,2025-05-04,10:10:12
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:10:12
11328.0,Roda-Gigante,True,40,2025-05-04,10:10:12
11327.0,FireWhip,True,30,2025-05-04,10:10:12
11340.0,Barco Pirata,True,10,2025-05-04,10:10:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:10:12
11335.0,Star Mountain,True,45,2025-05-04,10:10:12
11334.0,Big Tower,True,30,2025-05-04,10:15:12
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:15:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:15:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:15:12
11332.0,Tigor Mountain,True,60,2025-05-04,10:15:12
11327.0,FireWhip,True,30,2025-05-04,10:15:12
11367.0,Raskapuska,True,30,2025-05-04,10:15:12
11335.0,Star Mountain,True,45,2025-05-04,10:15:12
11340.0,Barco Pirata,True,10,2025-05-04,10:15:12
11328.0,Roda-Gigante,True,40,2025-05-04,10:15:12
11336.0,Tchibum,True,15,2025-05-04,10:15:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:20:12
11340.0,Barco Pirata,True,10,2025-05-04,10:20:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:20:12
11334.0,Big Tower,True,30,2025-05-04,10:20:12
11328.0,Roda-Gigante,True,40,2025-05-04,10:20:12
11335.0,Star Mountain,True,45,2025-05-04,10:20:12
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:20:12
11327.0,FireWhip,True,30,2025-05-04,10:20:12
11336.0,Tchibum,True,15,2025-05-04,10:20:12
11367.0,Raskapuska,True,30,2025-05-04,10:20:12
11332.0,Tigor Mountain,True,60,2025-05-04,10:20:12
11335.0,Star Mountain,True,70,2025-05-04,10:25:12
11332.0,Tigor Mountain,True,60,2025-05-04,10:25:12
11328.0,Roda-Gigante,True,40,2025-05-04,10:25:12
11367.0,Raskapuska,True,60,2025-05-04,10:25:12
11336.0,Tchibum,True,15,2025-05-04,10:25:12
11334.0,Big Tower,True,30,2025-05-04,10:25:12
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:25:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:25:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:25:12
11340.0,Barco Pirata,True,10,2025-05-04,10:25:12
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:30:12
11340.0,Barco Pirata,True,20,2025-05-04,10:30:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:30:12
11334.0,Big Tower,True,60,2025-05-04,10:30:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:30:12
11328.0,Roda-Gigante,True,40,2025-05-04,10:30:12
11335.0,Star Mountain,True,70,2025-05-04,10:30:12
11336.0,Tchibum,True,15,2025-05-04,10:30:12
11367.0,Raskapuska,True,60,2025-05-04,10:30:12
11329.0,Autopista (bate-bate),True,30,2025-05-04,10:30:12
11332.0,Tigor Mountain,True,60,2025-05-04,10:30:12
11332.0,Tigor Mountain,True,150,2025-05-04,10:35:12
11329.0,Autopista (bate-bate),True,30,2025-05-04,10:35:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:35:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:35:12
11334.0,Big Tower,True,60,2025-05-04,10:35:12
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:35:12
11367.0,Raskapuska,True,50,2025-05-04,10:35:12
11328.0,Roda-Gigante,True,40,2025-05-04,10:35:12
11340.0,Barco Pirata,True,20,2025-05-04,10:35:12
11335.0,Star Mountain,True,70,2025-05-04,10:35:12
11336.0,Tchibum,True,30,2025-05-04,10:35:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,10:35:12
11367.0,Raskapuska,True,50,2025-05-04,10:40:13
11338.0,Madagascar Crazy River Adventure!,True,30,2025-05-04,10:40:13
11328.0,Roda-Gigante,True,60,2025-05-04,10:40:13
11340.0,Barco Pirata,True,20,2025-05-04,10:40:13
13872.0,Betinho Carrero 2D,True,5,2025-05-04,10:40:13
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:40:13
11336.0,Tchibum,True,30,2025-05-04,10:40:13
11335.0,Star Mountain,True,70,2025-05-04,10:40:13
11334.0,Big Tower,True,60,2025-05-04,10:40:13
11329.0,Autopista (bate-bate),True,30,2025-05-04,10:40:13
11332.0,Tigor Mountain,True,150,2025-05-04,10:40:13
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:40:13
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:45:12
11336.0,Tchibum,True,30,2025-05-04,10:45:12
11335.0,Star Mountain,True,70,2025-05-04,10:45:12
11367.0,Raskapuska,True,50,2025-05-04,10:45:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,10:45:12
11334.0,Big Tower,True,60,2025-05-04,10:45:12
11329.0,Autopista (bate-bate),True,30,2025-05-04,10:45:12
11338.0,Madagascar Crazy River Adventure!,True,190,2025-05-04,10:45:12
11332.0,Tigor Mountain,True,150,2025-05-04,10:45:12
11340.0,Barco Pirata,True,35,2025-05-04,10:45:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:45:12
11328.0,Roda-Gigante,True,60,2025-05-04,10:45:12
11328.0,Roda-Gigante,True,60,2025-05-04,10:50:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,10:50:12
11329.0,Autopista (bate-bate),True,30,2025-05-04,10:50:12
11327.0,FireWhip,True,120,2025-05-04,10:50:12
11332.0,Tigor Mountain,True,150,2025-05-04,10:50:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:50:12
11336.0,Tchibum,True,90,2025-05-04,10:50:12
11340.0,Barco Pirata,True,35,2025-05-04,10:50:12
11367.0,Raskapuska,True,50,2025-05-04,10:50:12
11335.0,Star Mountain,True,70,2025-05-04,10:50:12
11338.0,Madagascar Crazy River Adventure!,True,190,2025-05-04,10:50:12
11334.0,Big Tower,True,60,2025-05-04,10:50:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:50:12
11340.0,Barco Pirata,True,35,2025-05-04,10:55:12
11335.0,Star Mountain,True,70,2025-05-04,10:55:12
11338.0,Madagascar Crazy River Adventure!,True,190,2025-05-04,10:55:12
11327.0,FireWhip,True,120,2025-05-04,10:55:12
11332.0,Tigor Mountain,True,150,2025-05-04,10:55:12
11336.0,Tchibum,True,90,2025-05-04,10:55:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,10:55:12
11367.0,Raskapuska,True,50,2025-05-04,10:55:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,10:55:12
11328.0,Roda-Gigante,True,60,2025-05-04,10:55:12
11329.0,Autopista (bate-bate),True,30,2025-05-04,10:55:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,10:55:12
11334.0,Big Tower,True,60,2025-05-04,10:55:12
11367.0,Raskapuska,True,60,2025-05-04,11:00:12
11335.0,Star Mountain,True,70,2025-05-04,11:00:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,11:00:12
11328.0,Roda-Gigante,True,60,2025-05-04,11:00:12
11340.0,Barco Pirata,True,35,2025-05-04,11:00:12
11366.0,Carrossel Veneziano,True,5,2025-05-04,11:00:12
11338.0,Madagascar Crazy River Adventure!,True,190,2025-05-04,11:00:12
11327.0,FireWhip,True,120,2025-05-04,11:00:12
11334.0,Big Tower,True,90,2025-05-04,11:00:12
11329.0,Autopista (bate-bate),True,30,2025-05-04,11:00:12
11332.0,Tigor Mountain,True,150,2025-05-04,11:00:12
11336.0,Tchibum,True,90,2025-05-04,11:00:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,11:00:12
11366.0,Carrossel Veneziano,True,10,2025-05-04,11:05:13
11340.0,Barco Pirata,True,35,2025-05-04,11:05:13
11328.0,Roda-Gigante,True,60,2025-05-04,11:05:13
11329.0,Autopista (bate-bate),True,30,2025-05-04,11:05:13
11367.0,Raskapuska,True,80,2025-05-04,11:05:13
13872.0,Betinho Carrero 2D,True,5,2025-05-04,11:05:13
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,11:05:13
11336.0,Tchibum,True,90,2025-05-04,11:05:13
11334.0,Big Tower,True,90,2025-05-04,11:05:13
11332.0,Tigor Mountain,True,150,2025-05-04,11:05:13
11327.0,FireWhip,True,150,2025-05-04,11:05:13
11335.0,Star Mountain,True,70,2025-05-04,11:05:13
11338.0,Madagascar Crazy River Adventure!,True,190,2025-05-04,11:05:13
11334.0,Big Tower,True,90,2025-05-04,11:10:12
11367.0,Raskapuska,True,80,2025-05-04,11:10:12
11329.0,Autopista (bate-bate),True,45,2025-05-04,11:10:12
11328.0,Roda-Gigante,True,60,2025-05-04,11:10:12
11340.0,Barco Pirata,True,35,2025-05-04,11:10:12
11327.0,FireWhip,True,150,2025-05-04,11:10:12
11366.0,Carrossel Veneziano,True,10,2025-05-04,11:10:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,11:10:12
11338.0,Madagascar Crazy River Adventure!,True,190,2025-05-04,11:10:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,11:10:12
11336.0,Tchibum,True,90,2025-05-04,11:10:12
11335.0,Star Mountain,True,130,2025-05-04,11:10:12
11332.0,Tigor Mountain,True,150,2025-05-04,11:10:12
11367.0,Raskapuska,True,80,2025-05-04,11:15:12
11328.0,Roda-Gigante,True,40,2025-05-04,11:15:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,11:15:12
11336.0,Tchibum,True,90,2025-05-04,11:15:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,11:15:12
11327.0,FireWhip,True,180,2025-05-04,11:15:12
11338.0,Madagascar Crazy River Adventure!,True,190,2025-05-04,11:15:12
11366.0,Carrossel Veneziano,True,10,2025-05-04,11:15:12
11329.0,Autopista (bate-bate),True,45,2025-05-04,11:15:12
11340.0,Barco Pirata,True,35,2025-05-04,11:15:12
11332.0,Tigor Mountain,True,150,2025-05-04,11:15:12
11335.0,Star Mountain,True,130,2025-05-04,11:15:12
11334.0,Big Tower,True,90,2025-05-04,11:15:12
11366.0,Carrossel Veneziano,True,10,2025-05-04,11:20:12
11327.0,FireWhip,True,180,2025-05-04,11:20:12
11328.0,Roda-Gigante,True,40,2025-05-04,11:20:12
11340.0,Barco Pirata,True,35,2025-05-04,11:20:12
11336.0,Tchibum,True,90,2025-05-04,11:20:12
11335.0,Star Mountain,True,130,2025-05-04,11:20:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,11:20:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,11:20:12
11329.0,Autopista (bate-bate),True,45,2025-05-04,11:20:12
11367.0,Raskapuska,True,90,2025-05-04,11:20:12
11338.0,Madagascar Crazy River Adventure!,True,120,2025-05-04,11:20:12
11332.0,Tigor Mountain,True,150,2025-05-04,11:20:12
11334.0,Big Tower,True,90,2025-05-04,11:20:12
11344.0,Ferrovia DinoMagic,True,15,2025-05-04,11:25:12
11367.0,Raskapuska,True,90,2025-05-04,11:25:12
11327.0,FireWhip,True,180,2025-05-04,11:25:12
11332.0,Tigor Mountain,True,150,2025-05-04,11:25:12
11334.0,Big Tower,True,90,2025-05-04,11:25:12
13872.0,Betinho Carrero 2D,True,5,2025-05-04,11:25:12
11329.0,Autopista (bate-bate),True,45,2025-05-04,11:25:12
11336.0,Tchibum,True,90,2025-05-04,11:25:12
11335.0,Star Mountain,True,130,2025-05-04,11:25:12
11340.0,Barco Pirata,True,35,2025-05-04,11:25:12
11338.0,Madagascar Crazy River Adventure!,True,120,2025-05-04,11:25:12
11328.0,Roda-Gigante,True,40,2025-05-04,11:25:12
11366.0,Carrossel Veneziano,True,10,2025-05-04,11:25:12
11367.0,Raskapuska,True,90,2025-05-04,11:30:12
11332.0,Tigor Mountain,True,60,2025-05-04,11:30:12
11334.0,Big Tower,True,90,2025-05-04,11:30:12
11338.0,Madagascar Crazy River Adventure!,True,120,2025-05-04,11:30:12
11327.0,FireWhip,True,180,2025-05-04,11:30:12
11366.0,Carrossel Veneziano,True,10,2025-05-04,11:30:12
