id,name,is_open,wait_time,data_local,hora_local
11329.0,Autopista (bate-bate),True,35,2025-12-09,17:35:20
11330.0,Baby Elefante,True,5,2025-12-09,17:35:20
11340.0,Barco Pirata,True,5,2025-12-09,17:35:20
13872.0,Betinho Carrero 2D,True,5,2025-12-09,17:35:20
11459.0,Big Drop,True,15,2025-12-09,17:35:20
11366.0,Carrossel Veneziano,False,0,2025-12-09,17:35:20
11344.0,Ferrovia DinoMagic,True,30,2025-12-09,17:35:20
11327.0,FireWhip,True,10,2025-12-09,17:35:20
11338.0,Madagascar Crazy River Adventure!,True,15,2025-12-09,17:35:20
11368.0,Montanha-russa Dum Dum,True,5,2025-12-09,17:35:20
11367.0,Raskapuska,True,15,2025-12-09,17:35:20
11444.0,Rebuliço,True,30,2025-12-09,17:35:20
11328.0,Roda-Gigante,True,30,2025-12-09,17:35:20
12325.0,Spin Blast,True,20,2025-12-09,17:35:20
11335.0,Star Mountain,True,5,2025-12-09,17:35:20
12326.0,Super Soaker Splash,True,5,2025-12-09,17:35:20
11336.0,Tchibum,True,40,2025-12-09,17:35:20
11332.0,Tigor Mountain,True,25,2025-12-09,17:35:20
15407.0,Turbo Drive,True,40,2025-12-09,17:35:26
11373.0,Xícaras Malucas,True,5,2025-12-09,17:35:20
11329.0,Autopista (bate-bate),True,35,2025-12-09,17:40:08
11330.0,Baby Elefante,True,5,2025-12-09,17:40:08
11340.0,Barco Pirata,True,5,2025-12-09,17:40:08
13872.0,Betinho Carrero 2D,True,5,2025-12-09,17:40:08
11459.0,Big Drop,True,15,2025-12-09,17:40:08
11366.0,Carrossel Veneziano,False,0,2025-12-09,17:40:08
11344.0,Ferrovia DinoMagic,True,30,2025-12-09,17:40:08
11327.0,FireWhip,True,10,2025-12-09,17:40:08
11338.0,Madagascar Crazy River Adventure!,True,10,2025-12-09,17:40:08
11368.0,Montanha-russa Dum Dum,True,5,2025-12-09,17:40:08
11367.0,Raskapuska,True,15,2025-12-09,17:40:08
11444.0,Rebuliço,True,10,2025-12-09,17:40:08
11328.0,Roda-Gigante,True,30,2025-12-09,17:40:08
12325.0,Spin Blast,True,20,2025-12-09,17:40:08
11335.0,Star Mountain,True,5,2025-12-09,17:40:08
